id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
4952,2009-2012,t,Palo Alto,37.43932,-122.15741,Private room,Single,1.0,1.0,70.0,31,365,76,4.79,4.81,4.88,4.83,4.89,4.78,0.48
21373,2009-2012,t,Palo Alto,37.43972,-122.15532,Private room,Single,1.0,1.0,70.0,31,365,264,4.87,4.82,4.79,4.9,4.96,4.74,1.8
26622,2009-2012,f,Daly City,37.6949,-122.47517,Private room,Couple,1.0,1.0,150.0,3,7,255,4.96,4.96,4.97,4.95,4.73,4.92,1.75
39342,2009-2012,f,Pacifica,37.62972,-122.48739,Entire home/apt,Small groups,2.0,2.0,138.0,31,365,3,4.67,5.0,5.0,5.0,5.0,5.0,0.02
40560,2009-2012,t,Palo Alto,37.45379,-122.13867,Private room,Couple,1.0,1.0,115.0,2,100,139,4.91,4.94,4.95,4.95,4.94,4.83,0.97
55301,2009-2012,f,Menlo Park,37.46201,-122.15243,Entire home/apt,Small groups,1.0,1.0,119.0,31,730,48,4.92,4.92,4.9,4.96,4.85,4.83,0.36
62799,2009-2012,t,Palo Alto,37.43934,-122.15723,Private room,Couple,1.0,4.0,77.0,31,365,148,4.89,4.89,4.83,4.91,4.96,4.78,1.52
63146,2009-2012,f,Menlo Park,37.44674,-122.18433,Entire home/apt,Medium groups,3.0,6.0,575.0,4,30,1,0.0,4.810538068334666,4.754580306698938,4.844059725585132,4.81085821899379,4.700320150659118,0.02
72211,2009-2012,t,other,37.3878,-122.20206,Entire home/apt,Medium groups,3.0,5.0,449.0,3,190,121,4.92,4.93,4.78,4.93,4.87,4.86,0.9
75284,2009-2012,t,Palo Alto,37.43923,-122.15745,Private room,Single,1.0,1.0,67.0,31,365,207,4.86,4.87,4.91,4.92,4.95,4.77,1.52
83584,2009-2012,f,Pacifica,37.63009,-122.48715,Entire home/apt,Couple,1.0,1.0,120.0,31,290,9,4.44,4.56,4.44,4.44,4.78,4.44,0.11
