id,season,year,price_x
4952,autumn,2022,12460.0
4952,spring,2022,840.0
4952,spring,2023,9240.0
4952,summer,2022,13160.0
4952,winter,2022,1540.0
4952,winter,2023,5880.0
11464,autumn,2022,765.0
11464,spring,2022,510.0
11464,spring,2023,7310.0
11464,summer,2022,6120.0
11464,winter,2022,935.0
11464,winter,2023,6715.0
21373,autumn,2022,12460.0
21373,spring,2022,840.0
21373,spring,2023,12180.0
21373,summer,2022,13160.0
21373,winter,2022,1540.0
21373,winter,2023,11060.0
26622,spring,2022,600.0
26622,summer,2022,1350.0
39342,autumn,2022,690.0
39342,spring,2022,828.0
39342,summer,2022,12972.0
40560,autumn,2022,1380.0
40560,spring,2022,1380.0
40560,summer,2022,20240.0
40560,winter,2022,2530.0
55301,autumn,2022,2856.0
55301,spring,2022,1428.0
55301,spring,2023,238.0
55301,summer,2022,22372.0
62799,autumn,2022,9394.0
62799,spring,2022,924.0
62799,summer,2022,14476.0
63146,spring,2022,5750.0
63146,summer,2022,3450.0
72211,autumn,2022,79922.0
72211,spring,2022,5388.0
72211,spring,2023,77228.0
72211,summer,2022,64656.0
72211,winter,2022,9878.0
72211,winter,2023,70942.0
75284,autumn,2022,11256.0
75284,spring,2022,804.0
75284,summer,2022,8040.0
83584,spring,2022,720.0
83584,summer,2022,1200.0
92921,spring,2022,600.0
92921,summer,2022,4300.0
106365,autumn,2022,8694.0
106365,spring,2022,1134.0
106365,summer,2022,11151.0
106365,winter,2022,2079.0
106365,winter,2023,1323.0
110825,spring,2022,600.0
110825,summer,2022,4920.0
118903,autumn,2022,8277.0
118903,spring,2022,558.0
118903,spring,2023,7998.0
118903,summer,2022,4185.0
118903,winter,2022,1023.0
118903,winter,2023,7347.0
123653,summer,2022,27807.0
134606,spring,2022,420.0
134606,summer,2022,700.0
169225,autumn,2022,12460.0
169225,spring,2022,420.0
169225,summer,2022,9940.0
169225,winter,2022,1540.0
170293,autumn,2022,8010.0
170293,spring,2022,540.0
170293,spring,2023,7740.0
170293,summer,2022,5220.0
170293,winter,2022,990.0
170293,winter,2023,7110.0
172259,autumn,2022,5785.0
172259,spring,2022,390.0
172259,spring,2023,5590.0
172259,summer,2022,6110.0
172259,winter,2022,715.0
172259,winter,2023,5135.0
175322,autumn,2022,15575.0
175322,spring,2022,875.0
175322,spring,2023,15225.0
175322,summer,2022,16450.0
175322,winter,2022,1925.0
175322,winter,2023,13825.0
208270,spring,2022,480.0
208270,summer,2022,3920.0
211039,autumn,2022,8900.0
211039,spring,2022,600.0
211039,spring,2023,8600.0
211039,summer,2022,9400.0
211039,winter,2022,1100.0
211039,winter,2023,7900.0
214303,spring,2022,1250.0
214303,summer,2022,3750.0
231717,spring,2022,534.0
231717,summer,2022,2848.0
236882,spring,2022,540.0
236882,summer,2022,6930.0
241788,spring,2022,1134.0
241788,summer,2022,13608.0
251163,autumn,2022,13350.0
251163,spring,2022,900.0
251163,spring,2023,12900.0
251163,summer,2022,14100.0
251163,winter,2022,1650.0
251163,winter,2023,11850.0
275617,spring,2022,480.0
275617,summer,2022,6400.0
281339,spring,2022,480.0
281339,summer,2022,5760.0
281472,spring,2022,450.0
281472,summer,2022,3975.0
307827,spring,2022,990.0
307827,summer,2022,825.0
310377,autumn,2022,6675.0
310377,spring,2022,375.0
310377,spring,2023,6450.0
310377,summer,2022,5925.0
310377,winter,2022,825.0
310377,winter,2023,5925.0
312514,autumn,2022,8175.0
312514,spring,2022,545.0
312514,spring,2023,3815.0
312514,summer,2022,7630.0
312514,winter,2022,218.0
313467,autumn,2022,0.0
315339,autumn,2022,2862.0
315339,spring,2022,1908.0
315339,spring,2023,27348.0
315339,summer,2022,318.0
315339,winter,2022,3498.0
315339,winter,2023,25122.0
342311,spring,2022,550.0
342311,summer,2022,5940.0
363117,spring,2022,360.0
363117,summer,2022,3240.0
373628,spring,2022,495.0
373628,summer,2022,3861.0
373730,spring,2022,720.0
373730,summer,2022,7320.0
379347,spring,2022,750.0
379347,summer,2022,9750.0
409560,autumn,2022,504.0
409560,spring,2022,280.0
409560,spring,2023,4872.0
409560,summer,2022,3136.0
409560,winter,2022,616.0
409560,winter,2023,4424.0
456783,autumn,2022,3220.0
456783,spring,2022,690.0
456783,summer,2022,9430.0
474107,autumn,2022,1610.0
474107,spring,2022,350.0
474107,spring,2023,6020.0
474107,summer,2022,4270.0
474107,winter,2022,770.0
474107,winter,2023,5530.0
480365,spring,2022,700.0
497579,spring,2022,360.0
497579,summer,2022,3540.0
509740,spring,2022,810.0
509740,summer,2022,8235.0
523466,autumn,2022,1008.0
523466,spring,2022,672.0
523466,spring,2023,9632.0
523466,summer,2022,4704.0
523466,winter,2022,1232.0
523466,winter,2023,8848.0
527119,spring,2022,540.0
527119,summer,2022,4968.0
529161,spring,2022,354.0
529161,summer,2022,1121.0
530857,autumn,2022,2800.0
530857,spring,2022,600.0
530857,summer,2022,6000.0
554085,spring,2022,60.0
554085,summer,2022,3420.0
558059,spring,2022,480.0
558059,summer,2022,720.0
558059,winter,2023,3360.0
564669,spring,2022,595.0
564669,summer,2022,4998.0
598609,autumn,2022,640.0
598609,spring,2022,480.0
598609,summer,2022,7520.0
600955,spring,2022,510.0
600955,summer,2022,6120.0
606240,autumn,2022,35155.0
606240,spring,2022,1975.0
606240,spring,2023,34365.0
606240,summer,2022,14220.0
606240,winter,2022,4345.0
606240,winter,2023,31205.0
617211,autumn,2022,2261.0
617211,spring,2022,798.0
617211,spring,2023,931.0
617211,summer,2022,9842.0
624038,autumn,2022,74460.0
624038,spring,2022,5256.0
624038,spring,2023,76212.0
624038,summer,2022,70956.0
624038,winter,2023,7884.0
631807,spring,2022,400.0
631807,summer,2022,5360.0
633412,spring,2022,588.0
633412,summer,2022,3626.0
634347,autumn,2022,57850.0
634347,spring,2022,3250.0
634347,spring,2023,56550.0
634347,summer,2022,61100.0
634347,winter,2022,7150.0
634347,winter,2023,51350.0
637600,autumn,2022,8811.0
637600,spring,2022,594.0
637600,summer,2022,9009.0
637600,winter,2022,1089.0
646496,autumn,2022,7120.0
646496,spring,2022,480.0
646496,summer,2022,7520.0
646496,winter,2022,880.0
646496,winter,2023,2480.0
656780,autumn,2022,6408.0
656780,spring,2022,288.0
656780,spring,2023,6192.0
656780,summer,2022,4896.0
656780,winter,2022,792.0
656780,winter,2023,5688.0
664068,spring,2022,1884.0
664068,summer,2022,9106.0
706286,spring,2022,744.0
706286,summer,2022,9424.0
706437,autumn,2022,12716.0
706437,spring,2022,3468.0
706437,spring,2023,49708.0
706437,summer,2022,53754.0
706437,winter,2023,5202.0
725538,autumn,2022,4902.0
725538,spring,2022,774.0
725538,spring,2023,11094.0
725538,summer,2022,3870.0
725538,winter,2022,1419.0
725538,winter,2023,10191.0
727926,spring,2022,534.0
727926,summer,2022,5073.0
728576,autumn,2022,6250.0
728576,spring,2022,750.0
728576,spring,2023,10750.0
728576,summer,2022,6000.0
728576,winter,2022,1375.0
728576,winter,2023,9875.0
